LINE_SEGMENT,TRACK_NUMBER,BEG MP,GRADE_TO_NEXT
1,1,196.65,-0.11
1,1,196.95,-0.63
1,1,197.44,-0.41
1,1,197.64,-3.10E-03
1,1,203.7,0.13
1,1,203.95,0.33
1,1,204.2,0.42
1,1,204.4,0
1,1,204.84,-0.19
1,1,204.92,0.13
1,1,205.01,-0.29
1,1,205.07,-0.96
1,1,205.2,-0.31
1,1,205.3,-0.18
1,1,205.45,-0.19
1,1,205.51,0
1,1,205.64,0.18
1,1,205.77,0.59
1,1,205.92,0.25
1,1,205.99,0.65
1,1,206.25,0.73
1,1,206.38,0.32
1,1,206.51,0.87
1,1,206.62,1.25
1,1,206.76,0.86
1,1,206.81,0.66
1,1,207,0.97
1,1,207.19,1.13
1,1,207.32,0.84
1,1,207.4,0.77
1,1,207.5,1.09
1,1,207.61,1.31
1,1,207.72,0.94
1,1,207.76,0.53
1,1,207.82,1.16
1,1,207.95,1.09
1,1,208.01,0.83
1,1,208.08,1.04
1,1,208.12,1.22
1,1,208.18,1.03
1,1,208.23,0.83
1,1,208.33,1.1
1,1,208.42,1.01
1,1,208.88,-0.01
1,1,209.01,0.64
1,1,209.05,0.51
1,1,209.26,0.44
1,1,209.43,0.24
1,1,209.47,0.08
1,1,209.66,0.03
1,1,209.71,-0.07
1,1,209.81,0
1,1,209.88,0.29
1,1,209.98,0.53
1,1,210.03,0.44
1,1,210.24,0.26
1,1,210.53,0.2
1,1,210.68,0.01
1,1,210.78,-0.14
1,1,210.91,-0.22
1,1,211.04,-0.1
1,1,211.31,-0.12
1,1,211.54,0.27
1,1,211.93,0.15
1,1,212.4,0.17
1,1,212.5,0.31
1,1,212.65,0.52
1,1,212.82,0.47
1,1,212.95,0.54
1,1,213.03,0.5
1,1,213.16,0.21
1,1,213.25,0.13
1,1,213.31,0.12
1,1,213.39,0.09
1,1,213.44,0.17
1,1,213.86,-0.02
1,1,214.01,-0.16
1,1,214.26,-0.54
1,1,214.31,-0.15
1,1,214.35,-0.19
1,1,214.41,-0.03
1,1,214.58,-0.03
1,1,214.73,-0.01
1,1,214.82,0.2
1,1,214.9,0.33
1,1,215.01,0.38
1,1,215.15,0.24
1,1,215.26,-0.03
1,1,215.37,-0.21
1,1,215.52,-4.90E-03
1,1,215.9,0.02
1,1,216.04,-0.03
1,1,216.3,-0.01
1,1,216.98,-0.09
1,1,217.44,-0.03
1,1,217.62,-0.18
1,1,217.96,-0.18
1,1,218.12,0
1,1,218.23,0.2
1,1,218.48,0.13
