LS,BMP,EMP,BegState,EndState,PASS SPEED,FREIGHT SPEED,TRACKS
1,212.27,224.73,"DAYMAN, IA","NEW LONDON, IA",79,60,2
1,212.27,224.73,"DAYMAN, IA","NEW LONDON, IA",79,60,2
1,212.27,224.73,"DAYMAN, IA","NEW LONDON, IA",79,60,2
1,224.73,233.33,"NEW LONDON, IA","MT PLEASANT, IA",79,60,2
1,224.73,233.33,"NEW LONDON, IA","MT PLEASANT, IA",79,60,2
1,224.73,233.33,"NEW LONDON, IA","MT PLEASANT, IA",79,60,2
1,224.73,233.33,"NEW LONDON, IA","MT PLEASANT, IA",79,60,2
1,224.73,233.33,"NEW LONDON, IA","MT PLEASANT, IA",79,60,2
1,224.73,233.33,"NEW LONDON, IA","MT PLEASANT, IA",79,60,2
1,224.73,233.33,"NEW LONDON, IA","MT PLEASANT, IA",79,60,2
1,224.73,233.33,"NEW LONDON, IA","MT PLEASANT, IA",79,60,2
1,224.73,233.33,"NEW LONDON, IA","MT PLEASANT, IA",79,60,2
1,233.33,243.88,"MT PLEASANT, IA","LOCKRIDGE, IA",79,60,2
1,233.33,243.88,"MT PLEASANT, IA","LOCKRIDGE, IA",79,60,2
1,233.33,243.88,"MT PLEASANT, IA","LOCKRIDGE, IA",79,60,2
1,233.33,243.88,"MT PLEASANT, IA","LOCKRIDGE, IA",79,60,2
1,233.33,243.88,"MT PLEASANT, IA","LOCKRIDGE, IA",79,60,2
1,233.33,243.88,"MT PLEASANT, IA","LOCKRIDGE, IA",79,60,2
1,233.33,243.88,"MT PLEASANT, IA","LOCKRIDGE, IA",79,60,2
1,233.33,243.88,"MT PLEASANT, IA","LOCKRIDGE, IA",79,60,2
1,233.33,243.88,"MT PLEASANT, IA","LOCKRIDGE, IA",79,60,2
1,233.33,243.88,"MT PLEASANT, IA","LOCKRIDGE, IA",79,60,2
1,243.88,255.39,"LOCKRIDGE, IA","FAIRFIELD, IA",79,60,2
1,243.88,255.39,"LOCKRIDGE, IA","FAIRFIELD, IA",79,60,2
1,243.88,255.39,"LOCKRIDGE, IA","FAIRFIELD, IA",79,60,2
1,243.88,255.39,"LOCKRIDGE, IA","FAIRFIELD, IA",79,60,2
1,243.88,255.39,"LOCKRIDGE, IA","FAIRFIELD, IA",79,60,2
1,243.88,255.39,"LOCKRIDGE, IA","FAIRFIELD, IA",79,60,2
1,243.88,255.39,"LOCKRIDGE, IA","FAIRFIELD, IA",79,60,2
1,243.88,255.39,"LOCKRIDGE, IA","FAIRFIELD, IA",79,60,2
1,243.88,255.39,"LOCKRIDGE, IA","FAIRFIELD, IA",79,60,2
1,243.88,255.39,"LOCKRIDGE, IA","FAIRFIELD, IA",79,60,2
1,243.88,255.39,"LOCKRIDGE, IA","FAIRFIELD, IA",79,60,2
1,243.88,255.39,"LOCKRIDGE, IA","FAIRFIELD, IA",79,60,2
1,255.39,273.56,"FAIRFIELD, IA","AGENCY CITY, IA",79,60,2
1,255.39,273.56,"FAIRFIELD, IA","AGENCY CITY, IA",79,60,2
1,255.39,273.56,"FAIRFIELD, IA","AGENCY CITY, IA",79,60,2
1,255.39,273.56,"FAIRFIELD, IA","AGENCY CITY, IA",79,60,2
1,255.39,273.56,"FAIRFIELD, IA","AGENCY CITY, IA",79,60,2
1,255.39,273.56,"FAIRFIELD, IA","AGENCY CITY, IA",79,60,2
1,255.39,273.56,"FAIRFIELD, IA","AGENCY CITY, IA",79,60,2
1,255.39,273.56,"FAIRFIELD, IA","AGENCY CITY, IA",79,60,2
1,255.39,273.56,"FAIRFIELD, IA","AGENCY CITY, IA",79,60,2
1,255.39,273.56,"FAIRFIELD, IA","AGENCY CITY, IA",79,60,2
1,255.39,273.56,"FAIRFIELD, IA","AGENCY CITY, IA",79,60,2
1,255.39,273.56,"FAIRFIELD, IA","AGENCY CITY, IA",79,60,2
1,255.39,273.56,"FAIRFIELD, IA","AGENCY CITY, IA",79,60,2
1,255.39,273.56,"FAIRFIELD, IA","AGENCY CITY, IA",79,60,2
1,255.39,273.56,"FAIRFIELD, IA","AGENCY CITY, IA",79,60,2
1,255.39,273.56,"FAIRFIELD, IA","AGENCY CITY, IA",79,60,2
1,255.39,273.56,"FAIRFIELD, IA","AGENCY CITY, IA",79,60,2
1,255.39,273.56,"FAIRFIELD, IA","AGENCY CITY, IA",79,60,2
1,273.56,279.78,"AGENCY CITY, IA","OTTUMWA, IA",79,60,2
1,273.56,279.78,"AGENCY CITY, IA","OTTUMWA, IA",79,60,2
1,273.56,279.78,"AGENCY CITY, IA","OTTUMWA, IA",79,60,2
1,273.56,279.78,"AGENCY CITY, IA","OTTUMWA, IA",79,60,2
1,273.56,279.78,"AGENCY CITY, IA","OTTUMWA, IA",79,60,2
1,273.56,279.78,"AGENCY CITY, IA","OTTUMWA, IA",79,60,2
1,279.78,289,"OTTUMWA, IA","ISU GENERAT S, IA",79,60,2
1,279.78,289,"OTTUMWA, IA","ISU GENERAT S, IA",79,60,2
1,279.78,289,"OTTUMWA, IA","ISU GENERAT S, IA",79,60,2
1,279.78,289,"OTTUMWA, IA","ISU GENERAT S, IA",79,60,2
1,279.78,289,"OTTUMWA, IA","ISU GENERAT S, IA",79,60,2
1,279.78,289,"OTTUMWA, IA","ISU GENERAT S, IA",79,60,2
1,279.78,289,"OTTUMWA, IA","ISU GENERAT S, IA",79,60,2
1,279.78,289,"OTTUMWA, IA","ISU GENERAT S, IA",79,60,2
1,279.78,289,"OTTUMWA, IA","ISU GENERAT S, IA",79,60,2
1,279.78,289,"OTTUMWA, IA","ISU GENERAT S, IA",79,60,2
1,289,302.09,"ISU GENERAT S, IA","MAXON, IA",79,60,2
1,289,302.09,"ISU GENERAT S, IA","MAXON, IA",79,60,2
1,289,302.09,"ISU GENERAT S, IA","MAXON, IA",79,60,2
1,289,302.09,"ISU GENERAT S, IA","MAXON, IA",79,60,2
1,289,302.09,"ISU GENERAT S, IA","MAXON, IA",79,60,2
1,289,302.09,"ISU GENERAT S, IA","MAXON, IA",79,60,2
1,289,302.09,"ISU GENERAT S, IA","MAXON, IA",79,60,2
1,289,302.09,"ISU GENERAT S, IA","MAXON, IA",79,60,2
1,289,302.09,"ISU GENERAT S, IA","MAXON, IA",79,60,2
1,289,302.09,"ISU GENERAT S, IA","MAXON, IA",79,60,2
1,289,302.09,"ISU GENERAT S, IA","MAXON, IA",79,60,2
1,289,302.09,"ISU GENERAT S, IA","MAXON, IA",79,60,2
1,289,302.09,"ISU GENERAT S, IA","MAXON, IA",79,60,2
1,302.09,303.87,"MAXON, IA","ALBIA, IA",79,60,2
1,303.87,318.8,"ALBIA, IA","MELROSE, IA",79,60,2
1,303.87,318.8,"ALBIA, IA","MELROSE, IA",79,60,2
1,303.87,318.8,"ALBIA, IA","MELROSE, IA",79,60,2
1,303.87,318.8,"ALBIA, IA","MELROSE, IA",79,60,2
1,303.87,318.8,"ALBIA, IA","MELROSE, IA",79,60,2
1,303.87,318.8,"ALBIA, IA","MELROSE, IA",79,60,2
1,303.87,318.8,"ALBIA, IA","MELROSE, IA",79,60,2
1,303.87,318.8,"ALBIA, IA","MELROSE, IA",79,60,2
1,303.87,318.8,"ALBIA, IA","MELROSE, IA",79,60,2
1,303.87,318.8,"ALBIA, IA","MELROSE, IA",79,60,2
1,303.87,318.8,"ALBIA, IA","MELROSE, IA",79,60,2
1,303.87,318.8,"ALBIA, IA","MELROSE, IA",79,60,2
1,303.87,318.8,"ALBIA, IA","MELROSE, IA",79,60,2
