Start,End,Subdivision 1,Segment 1,Begin MP 1,End MP 1,Subdivision 2,Segment 2,Begin MP 2,End MP 2,Subdivision 3,Segment 3,Begin MP 3,End MP 3,Subdivision 4,Segment 4,Begin MP 4,End MP 4,Subdivision 5,Segment 5,Begin MP 5,End MP 5
East Dilworth,Mandan,KO,26,0,31,Jamestown,26,31,200,,,,,,,,,,,,
East Dilworth,Minot,KO,26,0,31,KO,24,3,24,KO,34,41,226,KO,33,196,203,,,,
Grand Forks,Minot,Devils Lake,33,0,196.3,KO,33,196.3,203.2,,,,,,,,,,,,
Glasgow,Minot,Glasgow,35,278,0,,,,,,,,,,,,,,,,
Whitefish,Havre,Hi Line,36,1218,965,Milk River,35,434,430,,,,,,,,,,,,
Whitefish,Spokane,Kootenai River,36,1217.5,1403.3,Kootenai River,45,2.9,71.5,,,,,,,,,,,,
Laurel,Great Falls,Laurel,362,0.74,224.5,,,,,,,,,,,,,,,,
Phoenix,Ash Fork,Phoenix,7208,194,0,,,,,,,,,,,,,,,,
Winslow,Ash Fork,Seligman,7200,286,378,Phoenix,7206,378,384,Phoenix,7207,384,401,,,,,,,,
El Paso,Belen,El Paso,7300,1156,932,,,,,,,,,,,,,,,,
Clovis,Carlsbad,Carlsbad,7108,0,183,,,,,,,,,,,,,,,,
Raton,La Junta,Raton,7300,659.9,554.9,,,,,,,,,,,,,,,,
Slaton,Clovis,Slaton,7107,690,658,,,,,,,,,,,,,,,,
Amarillo,Clovis,Hereford,7100,554,658,,,,,,,,,,,,,,,,
Amarillo,Texline,Dalhart,485,335.7,452.9,,,,,,,,,,,,,,,,
Amarillo,Boise City,Boise City,7105,0,123,,,,,,,,,,,,,,,,
La Junta,Boise City,La Junta,7300,555,534,Boise City,7105,236,123,,,,,,,,,,,,
Greybull,Laurel,Casper,5,403.9,514.9,,,,,,,,,,,,,,,,
Sterling,Guernsey,Angora,21,115,34,Valley,5,0,95,,,,,,,,,,,,
Alliance,Guernsey,Angora,21,0,34,Valley,5,0,95,,,,,,,,,,,,
McCook,Sterling,Akron,2,287.8,454.9,Brush,21,148,138.6,,,,,,,,,,,,
Cheyenne,Guernsey,Canyon,5,103,95,,,,,,,,,,,,,,,,
Trinidad,Texline,Twin Peaks,477,208,453,,,,,,,,,,,,,,,,
Trinidad,Pueblo,Spanish Peaks,477,208,120,,,,,,,,,,,,,,,,
Denver,Pueblo,Pikes Peak,477,0,119,,,,,,,,,,,,,,,,
Kansas City,Wellington,Emporia,7100,0,238,,,,,,,,,,,,,,,,
Newton,Arkansas City,Arkansas City,7400,185,263,,,,,,,,,,,,,,,,
Lincoln,Ravenna,Ravenna,4,0,128.4,,,,,,,,,,,,,,,,
Sioux City,Wilmar,Marshall,197,222,0,,,,,,,,,,,,,,,,
Aberdeen,Hettinger,Mobridge,2005,707,928,,,,,,,,,,,,,,,,
Mandan,Glendive,Dickinson,39,0,216,,,,,,,,,,,,,,,,
Glendive,Forsyth,Forsyth,40,0,124,,,,,,,,,,,,,,,,
Forsyth,Hettinger,Forsyth,40,124,39,Hettinger,2005,1079,928,,,,,,,,,,,,
Aberdeen,Wilmar,Appleton,2005,707,677,Appleton,2004,676,579.4,Appleton,200,21.4,0,Morris,22,132,102,,,,
Wilmar,Northtown,Morriss,22,102,98,Wayzata,22,98,9.5,,,,,,,,,,,,
East Dilworth,Staples,Staples,25,250.3,148,,,,,,,,,,,,,,,,
North La Crosse,Northtown,St. Croix,3,300.2,410.5,St. Paul,25,1,14,,,,,,,,,,,,
Superior,Cass Lake,Lakes,28,5.4,13.3,Lakes,30,13.3,164.9,,,,,,,,,,,,
Superior,Northtown,Lakes,29,5,12,Hinckley,2108,11.8,19.4,Hinckley,28,19.4,136.9,,,,,,,,
Grand Forks,Cass Lake,Grand Forks,32,109.9,80.9,Grand Forks,31,0,106,,,,,,,,,,,,
Grand Forks,Noyes,Grand Forks,32,109.9,82,Noyes,245,2,91,,,,,,,,,,,,
Superior,Staples,Lakes,29,5,35,Brainerd,27,27.8,147.8,,,,,,,,,,,,
North La Crosse,Savanna,Aurora,3,300.2,143.7,,,,,,,,,,,,,,,,
Chicago,Savanna,Chicago,71,0,38.4,Aurora,3,38.4,143.7,,,,,,,,,,,,
Creston,Burlington,Ottumwa,1,393,205,,,,,,,,,,,,,,,,
Galesburg,Burlington,Ottumwa,1,162,205,,,,,,,,,,,,,,,,
Galesburg,Creston,Ottumwa,1,162,393,,,,,,,,,,,,,,,,
Galesburg,Chicago,Mendota,1,162.4,41,Chicago,71,41,0,,,,,,,,,,,,
Galesburg,Quincy,Brookfiled,11,162.4,258.5,,,,,,,,,,,,,,,,
Brookfield,Quincy,Brookfiled,15,104.1,5.7,Brookfiled,11,263,258.5,,,,,,,,,,,,
Brookfield,Kansas City,Brookfiled,15,104.1,106.86,Brookfiled,17,106.86,193.799,Brookfield,18,216.2,224.6,,,,,,,,
Ft. Madison,Chicago,Chillicothe,7000,234.3,0,,,,,,,,,,,,,,,,
Quincy,Ft. Madison,Brookfiled,11,259,263,Hannibal,14,136.9,200,,,,,,,,,,,,
Quincy,Lindenwood,Brookfiled,11,259,263,Hannibal,14,137,7.1,,,,,,,,,,,,
Beardstown,Centralia,Beardstown,12,116,102,Beardstown,13,0,121,,,,,,,,,,,,
Centralia,Paducah,Beardstown,13,121,187,Beardstown,13,203,226,,,,,,,,,,,,
Enid,Waynoka,Panhandle,7100,336,346,,,,,,,,,,,,,,,,
Kansas City,Ft. Scott,Ft Scott,16,2.7,0,,,,,,,,,,,,,,,,
Lafayette,Avondale,Lafayette,1281,144.5,12,,,,,,,,,,,,,,,,
Silsbee,Lafayette,Lafayette,1281,205.2,144.5,,,,,,,,,,,,,,,,
Houston,Lafayette,Lafayette,1281,205.2,144.5,,,,,,,,,,,,,,,,
Alliance,Edgemont,Butte,4,365.6,476.1,,,,,,,,,,,,,,,,
Edgemont,Gillette,Black Hills,4,476.1,597.2,,,,,,,,,,,,,,,,
Sheridan,Gillette,Big Horn,4,699,597,,,,,,,,,,,,,,,,
Laurel,Sheridan,Big Horn,4,825,699,,,,,,,,,,,,,,,,
Gillette,Guernsey,Black Hills,4,597.2,587,Orin,186,0,133.2,Canyon,5,127,95,,,,,,,,
Alliance,Ravenna,Sand Hills,4,366,128,,,,,,,,,,,,,,,,
Great Falls,Shelby,Sweet Grass,354,0.9,100,,,,,,,,,,,,,,,,
Havre,Glasgow,Milk River,35,430,278,,,,,,,,,,,,,,,,
Forsyth,Laurel,Forsyth,40,124,210,,,,,,,,,,,,,,,,
Slaton,Sweetwater,Slaton,7106,690,460,,,,,,,,,,,,,,,,
Slaton,Amarillo,Slaton,7106,690,674,Plainview,7106,674,571,Hereford,7100,571,554,,,,,,,,
